faval,fakdm,fakdul,fa01b,fakduk,facu33,fabelu,fakunr,fadato,fadaff,faavdr,faopko,fajour,faggrp,faaccn,faexra,fafrbn,falevn,famade,faagrn,fataxa,facuri,facd12,facd13,facd21,facd22,facd23,facd31,faavd,faopd,fali,favk,fabeln,fakda,fask,fafakt,famnd,facd32,favt,facc,faamou
NOK,N,,,,,0,62,19980325,0,84,Z,8,,30100,0,0,0,,0,0,,,,,,,,0,0,1,FRA,-290,I,I,500249,2,,,19,0
NOK,J,,,,,0,250,19980325,0,85,Z,8,,30100,0,0,0,,0,0,,,,,,,,0,0,2,FRA,-190,I,I,500249,2,,,19,0
NOK,J,,,,NOK,0,62,19980330,0,85,Z,11,,30100,0,0,0,,0,0,,,,,,,,0,0,3,FRA,-333,I,I,500251,2,,,19,0
NOK,J,,,,,0,24,19960721,19941205,1,Z,90,,0,0,0,1,,0,0,NOK,,,,,,,0,0,4,FRA,-128,K,X,605,2,,TOTEN TRANSPORT S:02,20,0
NOK,J,,,,,0,24,19960721,19941205,1,Z,90,,0,0,0,1,,0,0,NOK,,,,,,,0,0,5,FRA,-128,K,X,605,2,,TOTEN TRANSPORT S:02,20,0
NOK,N,,,,NOK,0,30,20021120,0,80,Z,38,,30100,0,0,0,,0,0,,,,,,,,0,0,6,FRA,55,I,I,900008,10,,,20,0
USD,N,,,,,0,76,19981015,19981104,2,Z,119,,40100,0,0,0,,0,0,USD,,,,,,,0,0,7,AME,-2769,K,X,258742,12,,**DIREKTE HOVED S:02,20,0
USD,N,,,,,0,76,19981015,19981104,2,Z,119,,40100,0,0,0,,0,0,USD,,,,,,,0,0,8,AME,-275,K,X,258742,12,,**DIREKTE HOVED S:02,20,0
USD,N,,,,,0,76,19981015,19981104,2,Z,119,,40100,0,0,0,,0,0,USD,,,,,,,0,0,9,AME,-2150,K,X,258742,12,,**DIREKTE HOVED S:02,20,0
USD,N,,,,,0,76,19981015,19981104,2,Z,119,,40100,0,0,0,,0,0,USD,,,,,,,0,0,10,AME,-344,K,X,258742,12,,**DIREKTE HOVED S:02,20,0
USD,N,,,,,0,76,19981015,19981104,2,Z,119,,40100,0,0,0,,0,0,USD,,,,,,,0,0,11,AME,-459,K,X,258742,12,,**DIREKTE HOVED S:02,20,0
NOK,N,,,,,0,600006,19990527,19990530,1,Z,122,,40300,0,0,30,,0,0,NOK,,,,,,,0,0,12,UTK,-200,K,X,123547,11,,LINJEGODS AS    S:11,20,0
NOK,N,,,,,0,138438,20000101,20000115,1,O,143,,40100,0,0,1,,0,0,NOK,,,,,,,0,0,13,FRA,-1,K,X,10158,12,,TOTEN TRANSPORT S:02,20,0
NOK,N,,,,,0,50,20000101,20000115,1,O,143,,40100,0,0,1,,0,0,NOK,,,,,,,0,0,14,FRA,-254,K,X,10158,12,,TOTEN TRANSPORT S:02,20,0
NOK,N,,,,,0,1010,19990215,19990220,2,O,147,,40100,0,0,30,,0,0,NOK,,,,,,,0,0,15,THC,-36,K,X,10170,8,,LINJEGODS AS    S:03,20,0
NOK,N,,,,,0,62,19990215,19990220,2,O,147,,40100,0,0,30,,0,0,NOK,,,,,,,0,0,16,THC,-36,K,X,10170,8,,LINJEGODS AS    S:11,20,0
NOK,N,,,,,0,62,19990215,19990220,2,O,147,,40100,0,0,30,,0,0,NOK,,,,,,,0,0,17,THC,-100,K,X,10170,8,,LINJEGODS AS    S:11,20,0
NOK,N,,,,,0,1010,19990215,19990220,2,O,147,,40100,0,0,30,,0,0,NOK,,,,,,,0,0,18,THC,-59,K,X,10170,8,,LINJEGODS AS    S:11,20,0
NOK,N,J,,,,0,0,20070103,0,0,O,50,CI,40100,0,0,0,,0,0,,,,,,,,0,0,19,FRA,-55555,I,I,900012,1,,0002,20,0
NOK,N,,,B,,0,0,20070103,0,2,O,50,,99999,0,0,0,,0,0,,,,,,,,0,0,20,TRA,-88,I,I,900012,1,,0002,20,0
NOK,N,,,B,,0,0,20070103,0,2,O,50,,99999,0,0,0,,0,0,,,,,,,,0,0,21,588,-3,I,I,900012,1,,0002,20,0
NOK,J,,,,,0,0,20070103,0,2,O,50,FI,99999,0,0,0,,0,0,,,,,,,,0,0,22,UTL,-11111,I,I,900012,1,,0002,20,0
NOK,J,,,,,0,27,0,0,0,,0,,0,0,0,0,,433,0,,,,,,,,1,-51209,0,FRA,108672,A,S,0,0,,,0,0
NOK,J,,,,,0,30,0,0,0,,0,,0,0,0,0,,0,0,,,,,,,,1,-3,0,FRA,0,M,S,0,0,,,0,0
NOK,J,,,,,0,1002,0,0,0,,0,,0,0,0,0,,0,0,,,,,,,,1,-1,0,FRA,0,M,K,0,0,,,0,0
NOK,N,J,,,NOK,0,10008592,19991103,0,1,Z,28,,99999,0,0,0,,0,0,,,,,,,,1,0,1,FRA,-2000,I,I,500287,8,,,19,0
NOK,N,,,,NOK,0,30,20010206,0,1,Z,32,,31100,0,0,0,,0,0,,,,,,,,1,0,2,HAN,450,I,I,500301,10,,,20,0
NOK,N,J,,,,0,0,20070102,0,1,O,49,,31100,0,0,0,,0,0,,,,,,,,1,0,3,FRA,-55555,I,I,900011,1,,0001,20,0
NOK,N,,,B,,0,0,20070102,0,1,O,49,,99999,0,0,0,,0,0,,,,,,,,1,0,4,TRA,-88,I,I,900011,1,,0001,20,0
NOK,N,,,B,,0,0,20070102,0,1,O,49,,99999,0,0,0,,0,0,,,,,,,,1,0,5,588,-3,I,I,900011,1,,0001,20,0
NOK,J,,,,,0,0,20070102,0,1,O,49,,99999,0,0,0,,0,0,,,,,,,,1,0,6,UTL,-11111,I,I,900011,1,,0001,20,0
NOK,N,,,N,NOK,0,1,20070103,0,1,O,52,,99999,0,0,0,,0,0,,,,,,,,1,0,7,TRA,-88,I,I,900014,12,,0001,20,0
NOK,N,,,N,,0,1,20070103,0,1,O,52,,30100,0,0,0,,0,0,,,,,,,,1,0,8,TER,-3,I,I,900014,12,,0001,20,0
