helka,hepro,heavd,heopd,hekdpl,hekft1,heft1,hedtcp,hekdkk,hesdt,hevalp,hesdff,hesdvt,hest,heur,hesg,hedtr,hegnn,hegn,heplan,trrund,hesaml,hehawb,hesdla,hesdl,hevalt,heknt,hekns,henas,hekdfs,hevals,heknsf,heans,henasf,heknk,henak,hekdfk,hevalk,heknkf,heank,henakf,heot,hedtop,hedtmp
NO,0,1,-51212,,,,0,,9000,0,,,,H,JOV,20120222,,,,0,,,,,OIL,0,24,IL-X BUD-SERVICE A/S,,NOK,24,0,IL-X BUD-SERVICE A/S,0,,X,,0,0,,SG,0,0
"",0,1,-51211,,,,0,,,0,,,,H,TH,20090623,,,,0,,,,,,0,0,,,,0,0,,0,,,NOK,0,0,,,0,0
"",0,1,-51210,,,,0,,,0,,,,H,TR,20070521,,,,0,,,,,,0,0,,,,0,0,,0,,X,,0,0,,,0,0
NO,0,1,-51209,,,,0,,4003,0,,,,H,TH,0,,,,0,,,,,OIL,0,27,Stein Kaasen,,NOK,27,0,STEIN KAASEN,77,AIR BROKER NORTH-SEA A/S,X,,0,0,,BT,0,0
"",0,1,-51208,,,,0,,,0,,,,H,JOV,0,,XX,,0,,,,,,0,0,,,,0,0,,0,,X,,0,0,,,0,0
"",0,1,-51179,,,,0,,,0,,,,H,TBR,0,,XX,,0,,,,,,0,0,,,,0,0,,0,,X,,0,0,,,0,0
NO,0,1,-3,,,,0,,BGO,0,,,,H,SH,19991001,,,,0,,,,,,0,24,IL-X BUD-SERVICE A/S,,NOK,30,0,LINJEGODS A/S,0,TEST,X,,0,0,,FT,19991001,0
NO,0,1,-2,,,,0,,DRM,0,,,,H,JOV,0,,,,0,,,,,,0,0,INTERSPED,X,,0,0,,1002,Systema A/S avd. Drammen,,NOK,1002,0,Systema A/S avd. Drammen,,0,0
NO,0,1,-1,,,,0,,DRM,0,BGO,,,H,JOV,19990101,,,,0,,,,,,0,0,SYSTEMA AS,X,,0,0,,1002,Systema A/S avd. Drammen,,NOK,1002,0,Systema A/S avd. Drammen,IN,19990101,0
NO,501462,1,11,,,,0,,1000,0,0192,2345,,B,CB,20050203,,,,0,,,,,,0,1,Systema AS,,NOK,24,0,IL-X BUD-SERVICE A/S,1,Systema AS,,NOK,24,0,IL-X BUD-SERVICE A/S,F1,20050203,0
NO,501829,1,184,,,,20,,1000,0,0192,0192,O,A,CB,20140404,,,,0,,,,,VAL,1,1,SYSTEMA A/S,,NOK,1,0,SYSTEMA A/S,1,vareadressenavn,,NOK,1,0,SYSTEMA A/S,FO,20140404,4
NO,500995,1,9170,,,,0,,5000,0,,,,A,SH,20000103,,200100000000000,,0,,HAWB,,,,0,9,BM-TRYKK,,NOK,24,0,IL-X BUD-SERVICE A/S,70,T. S. JACOBSEN A/S,,NOK,70,0,ABC SYSTEMER A/S,FT,20000103,0
DE,0,1,20539,,,,20,,,0,,,O,H,TR,20000512,,,,0,,,,,,0,0,Filterwerk Mann + Hummel GMBH,,,0,0,,110650,,,,0,0,,,20000512,11
DE,0,1,20540,,,,20,,,0,,,O,H,TR,20000512,,,,0,,,,,,0,0,Lorange GMBH,,,0,0,,110650,,,,0,0,,,20000512,11
DE,0,1,20541,,,,20,,,0,,,O,H,TR,20000512,,,,0,,,,,,0,0,Filterwerk Mann + Hummel GMBH,,,0,0,,110650,,,,0,0,,,20000512,11
NL,500018,1,50026,,,,20,,RTM,0,,,O,G,YBC,20000209,,,,0,,,,,,0,1,SYSTEMA A/S,X,NOK,24,0,IL-X BUD-SERVICE A/S,24,IL-X BUD-SERVICE A/S,,EUR,24,0,IL-X BUD-SERVICE A/S,FT,19920117,11
"",500499,1,51149,,,,0,,RTM,0,,,U,G,SK,20010504,,,,0,,,,,,0,63,A. AMUNDSEN A/S,X,,0,0,,0,,X,,0,0,,,19940115,0
HK,500795,1,51728,,,,0,,HKG,0,OSL,TYO,,G,YBC,20030702,,,,0,,,,,,1,100,VesternGeco AS,,EUR,100,0,VesternGeco AS,24,IL-X BUD-SERVICE A/S,X,NOK,24,0,IL-X BUD-SERVICE A/S,FT,19960415,0
"",500796,1,51729,,,,0,,HKG,0,OSL,HKG,U,G,YBC,20091102,,,,0,,,,,,0,70,ABC SYSTEMER A/S,X,,0,0,,0,,X,,0,0,,,19960414,0
"",500854,1,51920,,,,0,,NYC,0,DRM,,U,G,MS,20020201,,,,0,,,,,,0,600006,DATA IMPORTØREN A/S,X,,0,0,,0,,X,,0,0,,,19961023,0
"",501017,1,52137,,,,0,,HKG,0,BGO,SHA,U,G,YBC,20071025,,,,0,,,,,,0,10,Sy-Nett Pte,,,10,0,Sy-Nett Pte,100,SY-NETT AS,X,,0,0,,,19971028,0
